category,latitude,longitude
fitness,26.2218623,50.5024792
food,26.1413045,50.5819001
supermarket,26.3179447,50.1634218
food,26.1595311,50.5207025
supermarket,26.23284,50.5395271
healthcare,26.38834,50.1513083
food,26.2962746,50.209716
food,26.2335332,50.5743882
supermarket,26.2327862,50.5950054
food,26.2153042,50.5904721
food,26.2502798,50.6082934
supermarket,26.410914,50.184687
food,26.1322556,50.5605464
fitness,26.204079,50.4480827
supermarket,26.292574,50.174451
food,26.2258801,50.5698948
food,26.218415,50.491085
food,26.219725,50.6063286
supermarket,26.2196949,50.6040783
healthcare,26.2941421,50.2183905
food,26.2120836,50.5939812
food,26.2385408,50.5350147
school_all,26.360812,50.1752771
food,26.2326333,50.5950599
supermarket,26.1911369,50.5567179
food,26.2308797,50.5992413
food,25.8297489,50.6177528
food,25.8342204,50.6195981
food,25.8450343,50.618709
food,26.201172,50.2045655
food,26.1944637,50.5122196
food,26.2155426,50.5884024
supermarket,26.2327369,50.555433
supermarket,26.2308686,50.553225
food,26.2313942,50.5302111
food,26.2315675,50.530583
food,26.2418363,50.5885169
food,26.2417178,50.5883097
food,26.2416068,50.5881456
food,26.2409903,50.5871239
food,26.2322753,50.5321457
food,26.2323121,50.532226
food,26.2316914,50.5305306
food,26.2426392,50.589256
food,26.2425858,50.5891498
supermarket,26.2406505,50.5875427
food,26.2399118,50.5883219
food,26.2400044,50.5883885
supermarket,26.2270808,50.5799066
food,26.1152691,50.5752147
food,26.115172,50.575362
food,26.1151113,50.5754553
food,26.2119276,50.543036
food,26.2120494,50.5428891
supermarket,26.2128559,50.541962
food,26.1142055,50.5767165
food,26.2373761,50.5295567
supermarket,26.2365052,50.5946557
supermarket,26.2348648,50.5957666
food,26.2347841,50.5963416
food,26.2340271,50.597124
food,26.2349196,50.5880639
food,26.2094037,50.5458261
food,26.2373176,50.5948128
food,26.2345177,50.5956038
food,26.2344502,50.5958932
food,26.1145829,50.5756292
food,26.2316662,50.5886634
food,26.2343049,50.5967298
food,26.2361151,50.5944404
food,26.2362491,50.5943504
food,26.2314313,50.588523
food,26.2135342,50.5863231
food,26.2136895,50.5866188
food,26.212513,50.5862695
food,26.1169438,50.5709226
food,26.2364961,50.5921777
food,26.2128643,50.5863829
food,26.2128906,50.5863927
food,26.2369766,50.5373339
food,26.2367489,50.5915663
food,26.2367656,50.5910047
food,26.2367063,50.5909435
food,26.2366079,50.5902086
food,26.2365972,50.5903317
food,26.2363638,50.5908841
food,26.2359563,50.5912218
supermarket,26.2349982,50.5919189
food,26.2131989,50.5874307
food,26.2398835,50.5373482
food,26.2348577,50.592031
supermarket,26.2346726,50.5922773
food,26.2339432,50.5936638
food,26.2340716,50.5935771
supermarket,26.2331889,50.5949751
food,26.2329077,50.5950759
food,26.2327604,50.5951378
food,26.2322193,50.5949337
supermarket,26.2322007,50.5948092
supermarket,26.2321508,50.5945088
food,26.2085422,50.5910384
food,26.1161473,50.5735341
food,26.1170475,50.570016
food,26.1168062,50.570641
food,26.1165948,50.5713848
food,26.1163321,50.5721601
food,26.1163052,50.5722355
food,26.1162714,50.5723265
food,26.1159281,50.5733292
food,26.2098403,50.6039536
food,26.2098403,50.6040213
food,26.2098403,50.604051
food,26.2098357,50.6042508
