iter	Passed	Remaining
1280	27578	37008
1281	27597	36983
1282	27623	36967
1283	27648	36950
1284	27671	36930
1285	27693	36909
1286	27712	36885
1287	27731	36860
1288	27753	36839
1289	27771	36813
1290	27791	36789
1291	27811	36766
1292	27829	36739
1293	27849	36716
1294	27870	36694
1295	27894	36675
1296	27917	36656
1297	27942	36638
1298	27965	36619
1299	27992	36605
1300	28013	36583
1301	28033	36560
1302	28056	36540
1303	28075	36515
1304	28096	36493
1305	28119	36473
1306	28142	36453
1307	28163	36431
1308	28185	36410
1309	28205	36387
1310	28226	36364
1311	28248	36344
1312	28275	36329
1313	28308	36323
1314	28330	36301
1315	28350	36278
1316	28370	36255
1317	28391	36232
1318	28411	36209
1319	28432	36187
1320	28452	36163
1321	28474	36142
1322	28498	36124
1323	28522	36105
1324	28543	36083
1325	28569	36067
1326	28598	36054
1327	28620	36033
1328	28648	36020
1329	28672	36002
1330	28697	35985
1331	28725	35971
1332	28750	35954
1333	28774	35935
1334	28792	35910
1335	28811	35884
1336	28829	35858
1337	28846	35831
1338	28864	35805
1339	28882	35780
1340	28903	35757
1341	28919	35729
1342	28939	35705
1343	28956	35678
1344	28975	35653
1345	28993	35628
1346	29012	35603
1347	29030	35577
1348	29048	35551
1349	29067	35527
1350	29086	35502
1351	29107	35479
1352	29134	35464
1353	29154	35442
1354	29172	35415
1355	29191	35391
1356	29212	35368
1357	29235	35349
1358	29264	35336
1359	29288	35318
1360	29309	35296
1361	29331	35275
1362	29353	35254
1363	29378	35237
1364	29403	35219
1365	29430	35204
1366	29456	35187
1367	29477	35166
1368	29496	35141
1369	29514	35115
1370	29532	35089
1371	29549	35063
1372	29566	35035
1373	29584	35009
1374	29604	34986
1375	29626	34965
1376	29646	34942
1377	29665	34917
1378	29682	34891
1379	29703	34869
1380	29722	34844
1381	29746	34826
1382	29771	34808
1383	29790	34784
1384	29807	34757
1385	29824	34731
1386	29844	34707
1387	29862	34681
1388	29881	34657
1389	29898	34630
1390	29915	34604
1391	29935	34580
1392	29954	34556
1393	29974	34533
1394	29992	34507
1395	30014	34486
1396	30035	34464
1397	30056	34442
1398	30077	34419
1399	30099	34399
1400	30125	34383
1401	30148	34362
1402	30167	34339
1403	30186	34314
1404	30207	34292
1405	30227	34269
1406	30250	34249
1407	30269	34225
1408	30288	34201
1409	30310	34180
1410	30328	34155
1411	30348	34130
1412	30366	34105
1413	30384	34080
1414	30406	34059
1415	30425	34035
1416	30447	34014
1417	30473	33998
1418	30499	33981
1419	30526	33965
1420	30547	33944
1421	30569	33923
1422	30590	33901
1423	30613	33881
1424	30634	33859
1425	30656	33837
1426	30678	33817
1427	30700	33796
1428	30721	33774
1429	30742	33752
1430	30766	33733
1431	30788	33712
1432	30818	33700
1433	30844	33683
1434	30872	33669
1435	30899	33654
1436	30918	33629
1437	30937	33604
1438	30956	33580
1439	30978	33560
1440	30997	33536
1441	31019	33514
1442	31046	33499
1443	31078	33488
1444	31107	33475
1445	31134	33460
1446	31156	33438
1447	31182	33421
1448	31201	33398
1449	31219	33372
1450	31237	33346
1451	31256	33322
1452	31275	33298
1453	31294	33274
1454	31313	33250
1455	31332	33226
1456	31351	33202
1457	31369	33177
1458	31387	33152
1459	31406	33127
1460	31425	33103
1461	31444	33079
1462	31463	33054
1463	31482	33031
1464	31504	33009
1465	31524	32986
1466	31542	32961
1467	31563	32939
1468	31582	32915
1469	31601	32891
1470	31621	32868
1471	31641	32844
1472	31660	32820
1473	31678	32795
1474	31698	32773
1475	31719	32751
1476	31741	32729
1477	31765	32710
1478	31791	32694
1479	31817	32677
1480	31841	32658
1481	31861	32635
1482	31881	32612
1483	31901	32589
1484	31929	32574
1485	31957	32559
1486	31984	32544
1487	32011	32527
1488	32029	32502
1489	32048	32478
1490	32065	32452
1491	32100	32444
1492	32126	32427
1493	32153	32411
1494	32177	32392
1495	32198	32370
1496	32217	32346
1497	32235	32321
1498	32255	32298
1499	32276	32276
1500	32296	32253
1501	32317	32231
1502	32337	32208
1503	32358	32186
1504	32377	32162
1505	32397	32139
1506	32420	32119
1507	32448	32103
1508	32473	32086
1509	32500	32069
1510	32529	32055
1511	32553	32037
1512	32579	32019
1513	32606	32003
1514	32635	31988
1515	32658	31968
1516	32677	31945
1517	32697	31921
1518	32715	31897
1519	32734	31872
1520	32753	31848
1521	32777	31830
1522	32799	31809
1523	32822	31788
1524	32850	31773
1525	32877	31757
1526	32904	31741
1527	32924	31718
1528	32943	31694
1529	32963	31671
1530	32987	31651
1531	33006	31627
1532	33026	31604
1533	33048	31583
1534	33069	31561
1535	33088	31537
1536	33107	31513
1537	33127	31490
1538	33147	31467
1539	33165	31442
1540	33184	31418
1541	33203	31394
1542	33222	31370
1543	33241	31346
1544	33261	31323
1545	33282	31302
1546	33303	31279
1547	33322	31256
1548	33344	31234
1549	33364	31212
1550	33385	31190
1551	33408	31169
1552	33428	31146
1553	33449	31125
1554	33470	31102
1555	33489	31079
1556	33511	31058
1557	33533	31036
1558	33568	31028
1559	33606	31021
1560	33633	31005
1561	33656	30984
1562	33678	30963
1563	33703	30945
1564	33727	30926
1565	33753	30907
1566	33779	30891
1567	33805	30873
1568	33824	30849
1569	33844	30826
1570	33866	30805
1571	33900	30795
1572	33929	30779
1573	33954	30761
1574	33975	30739
1575	33995	30716
1576	34015	30693
1577	34034	30670
1578	34054	30647
1579	34075	30625
1580	34095	30601
1581	34116	30579
1582	34137	30558
1583	34163	30539
1584	34187	30520
1585	34205	30495
1586	34225	30473
1587	34248	30452
1588	34269	30430
1589	34290	30408
1590	34310	30385
1591	34331	30363
1592	34352	30341
1593	34372	30318
1594	34394	30297
1595	34418	30278
1596	34443	30259
1597	34465	30237
1598	34486	30216
1599	34509	30196
1600	34531	30174
